,aerials_won,age,assists,avg_rating,bad_controls,blocks,clearances,country,crosses,dispossessed,dribbled_past,dribbles,first_eleven,fouled,fouls,goals,height_cm,interceptions,key_passes,long_balls,man_of_the_match,minutes_played,offsides,offsides_won,own_goals,pass_accuracy,passes,player_id,player_name,position,red_cards,shots,substituted_on,tackles,team,through_balls,weight_kg,yellow_cards
0,1.6,24,2,7.6,1.7,0.1,0.5,gb,0.1,1.6,0.3,1.3,35,1.1,0.9,30,188,0.1,0.9,1.6,9,3083,1.1,0.0,0,71.2,17.8,83532,Harry Kane,"AM(C),FW",0,5.0,2,0.5,Tottenham,0.2,86,5
1,1.0,26,0,7.52,0.0,0.0,1.0,ar,0.0,0.0,1.0,0.0,1,0.0,0.0,0,196,0.0,0.0,7.0,0,90,0.0,0.0,0,77.3,22.0,104732,Paulo Gazzaniga,GK,0,0.0,0,0.0,Tottenham,0.0,90,0
2,0.5,26,10,7.4,2.0,0.0,0.5,dk,1.4,1.9,1.1,0.8,37,0.6,0.4,10,182,0.8,2.6,3.6,4,3226,0.0,0.0,0,82.4,61.0,69344,Christian Eriksen,M(CLR),0,2.6,0,1.4,Tottenham,0.2,76,0
3,2.8,25,2,7.28,0.9,0.1,2.8,ci,0.4,0.9,1.2,0.9,16,0.9,1.2,2,176,1.8,0.9,1.5,1,1429,0.1,0.4,0,79.4,45.6,83683,Serge Aurier,"D(CLR),M(R)",1,0.9,1,2.8,Tottenham,0.0,76,1
4,0.7,21,2,7.28,1.0,0.0,2.0,gb,0.7,1.7,0.7,1.3,2,1.3,0.3,0,173,1.0,1.0,1.0,0,188,0.0,0.0,0,82.5,32.3,313672,Kyle Walker-Peters,Defender,0,0.0,1,1.7,Tottenham,0.0,62,0
5,3.3,31,0,7.26,0.5,0.3,4.7,be,0.1,0.2,0.3,0.8,36,0.7,0.6,0,189,1.7,0.3,4.5,3,3205,0.0,0.8,0,86.3,69.1,21778,Jan Vertonghen,D(CL),0,0.7,0,1.8,Tottenham,0.0,87,4
6,0.8,22,10,7.09,2.7,0.2,0.5,gb,0.1,2.5,0.7,1.2,34,2.3,1.2,9,188,0.5,1.8,1.1,1,2972,0.1,0.0,0,77.2,34.8,131519,Dele Alli,M(CL),0,1.9,2,1.3,Tottenham,0.2,76,7
7,1.6,25,6,7.08,0.9,0.2,2.1,gb,1.2,0.6,0.8,0.5,26,0.9,0.8,2,181,1.0,1.6,1.6,1,2325,0.0,0.2,0,80.1,45.0,103837,Ben Davies,"D(CL),M(L)",0,0.6,3,1.6,Tottenham,0.0,76,3
8,1.5,27,5,7.04,0.8,0.3,1.9,gb,1.0,0.3,1.0,0.5,21,0.8,0.8,0,178,0.8,1.7,3.1,0,1914,0.1,0.5,0,81.4,52.8,83078,Kieran Trippier,"D(R),M(R)",0,0.3,3,2.2,Tottenham,0.1,71,1
9,0.1,26,6,6.99,1.8,0.0,0.2,kr,0.1,1.5,0.7,1.6,27,0.7,0.4,12,183,0.3,1.1,0.4,3,2312,0.7,0.0,0,85.2,24.8,91909,Son Heung-Min,"M(CLR),FW",0,2.0,10,0.5,Tottenham,0.1,78,0
