,player_id,player_name,team,age,country,avg_rating,height_cm,position,weight_kg
0,83532,Harry Kane,Tottenham,24,gb,7.6,188,"AM(C),FW",86
1,104732,Paulo Gazzaniga,Tottenham,26,ar,7.52,196,GK,90
2,69344,Christian Eriksen,Tottenham,26,dk,7.4,182,M(CLR),76
3,83683,Serge Aurier,Tottenham,25,ci,7.28,176,"D(CLR),M(R)",76
4,313672,Kyle Walker-Peters,Tottenham,21,gb,7.28,173,Defender,62
5,21778,Jan Vertonghen,Tottenham,31,be,7.26,189,D(CL),87
6,131519,Dele Alli,Tottenham,22,gb,7.09,188,M(CL),76
7,103837,Ben Davies,Tottenham,25,gb,7.08,181,"D(CL),M(L)",76
8,83078,Kieran Trippier,Tottenham,27,gb,7.04,178,"D(R),M(R)",71
9,91909,Son Heung-Min,Tottenham,26,kr,6.99,183,"M(CLR),FW",78
10,117973,Eric Dier,Tottenham,24,gb,6.96,188,"D(CR),DMC",88
11,322655,Davinson Sánchez,Tottenham,22,co,6.94,187,D(C),81
12,12187,Mousa Dembélé,Tottenham,31,be,6.9,185,M(CR),87
13,24711,Danny Rose,Tottenham,28,gb,6.74,173,"D(L),M(L)",72
14,25604,Hugo Lloris,Tottenham,31,fr,6.74,188,GK,82
15,19270,Michel Vorm,Tottenham,34,nl,6.74,183,GK,84
16,69933,Toby Alderweireld,Tottenham,29,be,6.68,187,D(CR),90
17,71714,Victor Wanyama,Tottenham,27,ke,6.64,188,DMC,80
18,75830,Erik Lamela,Tottenham,26,ar,6.52,181,AM(CLR),79
19,143990,Harry Winks,Tottenham,22,gb,6.49,178,DMC,65
20,92508,Lucas Moura,Tottenham,25,br,6.48,172,AM(CLR),72
21,29595,Moussa Sissoko,Tottenham,28,fr,6.46,187,M(CR),83
22,13361,Fernando Llorente,Tottenham,33,es,6.2,193,FW,90
23,134887,Georges-Kévin Nkoudou,Tottenham,23,fr,6.0,174,AM(LR),68
24,133381,Vincent Janssen,Tottenham,24,nl,6.0,180,FW,79
25,80767,Coutinho,Liverpool,26,br,8.03,172,M(CLR),68
26,108226,Mohamed Salah,Liverpool,26,eg,7.69,175,"AM(CLR),FW",71
27,96182,Roberto Firmino,Liverpool,26,br,7.39,181,"M(CLR),FW",76
28,95408,Virgil van Dijk,Liverpool,27,nl,7.35,193,D(C),92
29,111212,Emre Can,Liverpool,24,de,7.28,184,"D(CLR),DMC",82
30,109915,Sadio Mané,Liverpool,26,sn,7.27,175,AM(CLR),69
31,136451,Joseph Gomez,Liverpool,21,gb,7.11,188,D(CLR),77
32,115726,Andrew Robertson,Liverpool,24,gb,7.02,178,"D(L),M(L)",64
33,318871,Trent Alexander-Arnold,Liverpool,19,gb,7.02,175,D(R),69
34,29106,Dejan Lovren,Liverpool,29,hr,6.99,188,D(C),84
35,68659,Jordan Henderson,Liverpool,28,gb,6.95,182,M(CLR),67
36,74341,Joel Matip,Liverpool,26,cm,6.92,195,D(C),90
37,84146,Alex Oxlade Chamberlain,Liverpool,24,gb,6.88,180,M(CLR),70
38,10839,Ragnar Klavan,Liverpool,32,ee,6.81,187,D(C),85
39,113275,Alberto Moreno,Liverpool,26,es,6.8,171,"D(L),M(L)",65
40,33568,Georginio Wijnaldum,Liverpool,27,nl,6.79,175,M(CL),69
41,4511,James Milner,Liverpool,32,gb,6.78,175,"D(L),M(CLR)",70
